Time,Frequency Reference,Output Frequency,Output Current,Output Power,Output Voltage,Minor Fault,Major Fault,During Run,Fault Output,Output Frequency After Soft-start,Over Run Error,Timeout,Fin Temperature,Cooling Fin Temperature,Cooling Fan Operation Time,Electric Power (kWh)

000:00:00.182,   48.08,   48.08,   84.12,   45.40,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.323,   48.09,   48.08,   82.67,   44.30,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.464,   48.08,   48.08,   84.08,   45.40,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.612,   48.08,   48.08,   86.50,   45.10,  370.60,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.756,   48.08,   48.08,   80.95,   44.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:00.914,   48.08,   48.08,   80.16,   43.40,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.055,   48.08,   48.08,   81.48,   42.60,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.196,   48.08,   48.08,   81.74,   41.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.343,   48.08,   48.08,   82.80,   44.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.480,   48.08,   48.08,   85.31,   46.00,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.639,   48.09,   48.09,   84.08,   44.20,  370.60,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.780,   48.09,   48.09,   79.94,   45.20,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:01.931,   48.08,   48.08,   80.42,   42.30,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.079,   48.08,   48.08,   82.71,   39.90,  370.40,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.222,   48.08,   48.09,   82.76,   42.00,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.363,   48.08,   48.08,   84.04,   44.70,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.519,   48.08,   48.08,   85.01,   45.80,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.677,   48.09,   48.08,   85.23,   43.90,  370.60,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.827,   48.08,   48.08,   81.92,   45.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:02.977,   48.08,   48.08,   79.81,   45.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.136,   48.08,   48.08,   80.51,   42.50,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.279,   48.08,   48.08,   82.10,   40.00,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.433,   48.08,   48.08,   82.14,   40.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.590,   48.08,   48.08,   82.58,   42.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.744,   48.08,   48.09,   83.82,   45.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:03.900,   48.08,   48.08,   84.92,   45.30,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.058,   48.08,   48.08,   86.02,   45.70,  370.60,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.216,   48.08,   48.08,   84.04,   43.70,  370.60,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.360,   48.08,   48.08,   80.86,   44.60,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.515,   48.08,   48.08,   79.59,   44.80,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.679,   48.08,   48.08,   80.16,   43.10,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.831,   48.08,   48.08,   81.44,   41.90,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:04.989,   48.09,   48.08,   83.20,   39.10,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.163,   48.08,   48.08,   82.41,   40.60,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.304,   48.08,   48.08,   82.41,   41.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.460,   48.08,   48.08,   82.80,   44.80,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.618,   48.08,   48.08,   83.99,   44.60,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.776,   48.08,   48.08,   85.67,   45.20,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:05.934,   48.08,   48.08,   84.70,   43.30,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.097,   48.08,   48.08,   82.01,   45.20,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.260,   48.09,   48.09,   81.30,   45.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.421,   48.08,   48.08,   80.16,   44.60,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.578,   48.08,   48.08,   79.85,   44.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.751,   48.08,   48.08,   79.81,   44.10,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:06.902,   48.08,   48.08,   80.51,   43.90,  370.30,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:07.074,   48.09,   48.09,   81.22,   41.80,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:07.233,   48.08,   48.08,   82.23,   42.30,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:07.392,   48.08,   48.08,   82.89,   38.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:07.565,   48.08,   48.08,   82.80,   38.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:07.737,   48.08,   48.08,   82.58,   40.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:07.896,   48.07,   48.08,   82.41,   40.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:08.070,   48.08,   48.08,   82.63,   41.30,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:08.227,   48.08,   48.08,   82.67,   42.50,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:08.405,   48.08,   48.08,   81.97,   41.90,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:08.573,   48.08,   48.08,   82.41,   41.40,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:08.746,   48.08,   48.08,   82.36,   42.40,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:08.917,   48.08,   48.08,   82.49,   41.90,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:09.090,   48.08,   48.08,   82.10,   40.90,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:09.263,   48.08,   48.08,   82.41,   41.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:09.436,   48.08,   48.08,   82.23,   40.70,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:09.626,   48.08,   48.08,   82.89,   39.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:09.793,   48.08,   48.07,   82.80,   38.40,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:09.960,   48.08,   48.08,   82.85,   38.50,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:10.133,   48.08,   48.08,   83.02,   37.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:10.305,   48.08,   48.08,   82.89,   40.10,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:10.479,   48.08,   48.08,   82.19,   42.60,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:10.651,   48.08,   48.08,   81.57,   41.80,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:10.825,   48.08,   48.08,   80.91,   42.80,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:11.013,   48.08,   48.08,   80.73,   43.40,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:11.185,   48.07,   48.08,   80.82,   43.10,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:11.375,   48.08,   48.08,   79.94,   44.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:11.546,   48.09,   48.08,   80.07,   44.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:11.718,   48.08,   48.08,   80.03,   44.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:11.904,   48.08,   48.08,   80.73,   44.50,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:12.076,   48.07,   48.07,   81.26,   44.80,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:12.264,   48.08,   48.07,   83.64,   44.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:12.437,   48.08,   48.08,   85.93,   44.60,  370.50,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:12.632,   48.08,   48.07,   84.96,   47.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:12.809,   48.08,   48.08,   85.36,   45.30,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:12.991,   48.08,   48.08,   84.04,   44.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:13.172,   48.08,   48.08,   82.85,   44.20,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:13.337,   48.08,   48.08,   82.27,   43.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:13.525,   48.08,   48.08,   82.32,   42.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:13.715,   48.08,   48.08,   81.39,   40.10,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:13.889,   48.07,   48.07,   82.05,   38.90,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:14.077,   48.07,   48.08,   81.66,   42.50,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:14.251,   48.08,   48.08,   80.47,   43.70,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:14.439,   48.07,   48.07,   79.72,   43.70,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:14.629,   48.08,   48.08,   81.00,   45.10,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:14.803,   48.07,   48.07,   82.54,   44.90,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:14.990,   48.08,   48.08,   83.90,   44.10,  370.50,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:15.179,   48.07,   48.07,   85.62,   45.20,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:15.367,   48.07,   48.07,   84.65,   44.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:15.556,   48.08,   48.08,   83.02,   44.90,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:15.729,   48.07,   48.07,   82.10,   41.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:15.936,   48.07,   48.08,   82.49,   40.50,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:16.124,   48.08,   48.08,   80.51,   43.30,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:16.317,   48.08,   48.08,   80.38,   45.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:16.502,   48.08,   48.08,   80.82,   45.10,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:16.690,   48.08,   48.08,   83.77,   44.20,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:16.883,   48.07,   48.08,   85.98,   46.10,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:17.072,   48.07,   48.07,   84.26,   45.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:17.261,   48.08,   48.08,   82.58,   42.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:17.449,   48.07,   48.08,   82.76,   39.00,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:17.652,   48.09,   48.08,   81.26,   42.30,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:17.842,   48.07,   48.08,   79.19,   43.50,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:18.032,   48.08,   48.08,   80.42,   45.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:18.221,   48.08,   48.08,   83.24,   45.00,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:18.409,   48.07,   48.07,   85.76,   46.20,  370.40,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:18.599,   48.07,   48.08,   84.48,   44.80,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:18.789,   48.07,   48.07,   82.32,   42.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:18.986,   48.06,   48.07,   82.10,   38.60,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:19.174,   48.08,   48.08,   80.73,   42.80,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:19.377,   48.07,   48.07,   79.85,   44.20,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:19.567,   48.07,   48.07,   82.67,   44.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:19.771,   48.08,   48.07,   85.01,   44.80,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:19.956,   48.07,   48.07,   84.26,   44.80,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:20.143,   48.08,   48.08,   82.49,   42.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:20.353,   48.07,   48.08,   81.88,   38.80,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:20.538,   48.08,   48.08,   80.91,   43.00,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:20.741,   48.08,   48.08,   80.69,   45.20,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:20.956,   48.08,   48.08,   85.23,   44.40,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:21.144,   48.07,   48.07,   84.61,   45.50,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:21.348,   48.07,   48.07,   81.88,   41.80,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:21.552,   48.08,   48.08,   82.14,   41.50,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:21.759,   48.08,   48.07,   79.98,   44.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:21.957,   48.08,   48.08,   83.42,   44.30,  370.50,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:22.161,   48.08,   48.08,   85.93,   46.80,  370.60,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:22.365,   48.08,   48.08,   82.67,   44.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:22.569,   48.07,   48.07,   82.05,   39.30,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:22.774,   48.07,   48.07,   79.94,   43.50,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:22.965,   48.07,   48.07,   81.04,   45.10,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:23.170,   48.08,   48.08,   86.20,   46.00,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:23.382,   48.07,   48.07,   83.42,   44.80,  370.40,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:23.579,   48.07,   48.08,   82.14,   40.50,  370.40,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:23.783,   48.08,   48.08,   80.73,   43.10,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:23.989,   48.08,   48.07,   80.64,   45.10,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:24.193,   48.08,   48.08,   85.80,   45.10,  370.50,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:24.399,   48.08,   48.08,   83.02,   44.70,  370.50,    0.00,    0.00,    1.00,    0.00,   48.09,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:24.604,   48.08,   48.08,   82.01,   39.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:24.808,   48.08,   48.08,   79.94,   43.80,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:25.022,   48.07,   48.07,   82.01,   45.60,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:25.226,   48.07,   48.07,   85.23,   46.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:25.446,   48.08,   48.08,   82.36,   40.80,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:25.670,   48.08,   48.08,   80.25,   43.40,  370.30,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:25.870,   48.07,   48.07,   82.98,   44.90,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:26.086,   48.08,   48.08,   85.45,   46.20,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:26.283,   48.08,   48.08,   82.98,   42.40,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:26.503,   48.08,   48.08,   80.95,   43.00,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:26.722,   48.09,   48.08,   81.17,   45.80,  370.50,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:26.926,   48.08,   48.08,   85.36,   47.10,  370.50,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:27.142,   48.08,   48.08,   82.27,   40.90,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:27.360,   48.07,   48.07,   80.64,   42.90,  370.30,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:27.565,   48.07,   48.07,   80.51,   44.70,  370.40,    0.00,    0.00,    1.00,    0.00,   48.08,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
000:00:27.786,   48.08,   48.08,   85.27,   45.20,  370.40,    0.00,    0.00,    1.00,    0.00,   48.07,    0.00,    0.00,   34.00,   35.00, 1388.00,  636.00
