Timestamp (s),Detected Number
0.0,55.6
0.1,55.4
0.2,55.4
0.4,55.5
0.5,55.5
0.7000000000000001,55.4
0.8,55.4
0.9,55.6
1.1,55.6
1.2000000000000002,55.6
1.4000000000000001,55.6
1.5000000000000002,55.6
1.7000000000000002,55.6
1.8,55.6
2.0,55.6
2.1,55.6
2.3000000000000003,55.6
2.4000000000000004,55.6
2.6,55.6
2.7,55.5
2.9000000000000004,55.5
3.1,55.5
3.2,55.5
3.4000000000000004,55.5
3.5000000000000004,55.5
3.7,55.4
3.9000000000000004,55.4
4.0,55.4
4.2,55.4
4.4,55.4
4.5,55.4
4.7,55.4
4.9,55.4
5.1000000000000005,55.4
5.2,55.4
5.4,55.5
5.6000000000000005,55.5
5.800000000000001,55.6
5.9,55.6
6.1000000000000005,55.6
6.300000000000001,55.6
6.500000000000001,55.6
6.7,55.5
6.800000000000001,55.5
7.000000000000001,55.5
7.2,55.5
7.4,55.5
7.6000000000000005,55.6
7.800000000000001,55.6
8.0,55.6
8.200000000000001,55.6
8.4,55.5
8.5,55.5
8.700000000000001,55.5
8.9,55.5
9.100000000000001,55.5
9.3,55.5
9.5,55.4
9.700000000000001,55.4
9.9,55.4
10.100000000000001,55.4
10.3,55.4
10.600000000000001,55.4
10.8,55.6
11.000000000000002,55.6
11.200000000000001,55.6
11.4,55.6
11.600000000000001,55.6
11.8,55.6
12.000000000000002,55.6
12.200000000000001,55.6
12.500000000000002,55.5
12.700000000000001,55.5
12.9,55.6
13.100000000000001,55.6
13.3,55.6
13.500000000000002,55.6
13.8,55.0
14.000000000000002,55.0
14.200000000000001,55.0
14.4,55.4
14.700000000000001,55.4
14.9,55.7
15.100000000000001,55.7
15.400000000000002,55.7
15.600000000000001,55.7
15.8,55.7
16.1,55.7
16.3,55.7
16.5,55.7
16.8,55.7
17.0,55.7
17.3,55.7
17.5,55.7
17.700000000000003,55.7
18.0,55.6
18.200000000000003,55.6
18.5,55.6
18.700000000000003,55.6
19.0,55.6
19.200000000000003,55.6
19.5,55.6
19.700000000000003,55.6
20.0,55.6
20.200000000000003,55.6
20.5,55.6
20.700000000000003,55.6
21.0,55.6
21.200000000000003,55.6
21.5,55.6
21.8,55.6
22.000000000000004,55.6
22.3,55.6
22.500000000000004,55.6
22.8,55.6
23.1,55.6
23.3,55.6
23.6,55.0
23.900000000000002,55.0
24.200000000000003,55.6
24.400000000000002,55.6
24.700000000000003,55.6
25.000000000000004,55.6
25.3,55.6
25.500000000000004,55.6
25.8,55.6
26.1,55.6
26.400000000000002,55.6
26.6,55.6
26.900000000000002,55.6
27.200000000000003,55.6
27.500000000000004,55.6
27.8,55.6
28.1,55.0
28.400000000000002,55.0
28.700000000000003,55.6
28.900000000000002,55.6
29.200000000000003,55.6
29.500000000000004,54.6
29.8,54.6
30.1,55.6
30.400000000000002,55.6
30.700000000000003,55.6
31.000000000000004,55.6
31.300000000000004,55.6
31.6,55.6
31.900000000000002,55.6
32.2,55.7
32.5,55.7
32.800000000000004,55.7
33.1,55.7
33.400000000000006,55.8
33.800000000000004,55.8
34.1,55.6
34.400000000000006,55.6
34.7,55.6
35.0,55.6
35.300000000000004,55.6
35.6,55.6
35.900000000000006,55.6
36.300000000000004,54.9
36.6,54.9
36.900000000000006,54.9
37.2,54.9
37.5,54.9
37.900000000000006,54.9
38.2,54.9
38.5,55.0
38.800000000000004,54.8
39.2,54.8
39.5,54.8
39.800000000000004,54.8
40.2,54.8
40.5,54.8
40.800000000000004,54.9
41.2,54.9
41.5,54.9
41.800000000000004,54.9
42.2,54.7
42.5,54.7
42.900000000000006,54.7
43.2,54.8
43.50000000000001,54.8
43.900000000000006,54.8
44.2,54.7
44.6,54.7
44.900000000000006,54.8
45.300000000000004,54.8
45.6,54.8
46.00000000000001,54.8
46.300000000000004,54.8
46.7,54.8
47.00000000000001,54.7
47.400000000000006,54.7
47.800000000000004,54.7
48.1,54.7
48.50000000000001,54.8
48.800000000000004,54.8
49.2,54.8
49.6,54.8
49.900000000000006,54.8
50.300000000000004,54.8
50.7,54.8
51.00000000000001,54.8
51.400000000000006,54.8
51.800000000000004,54.8
52.1,54.8
52.50000000000001,54.8
52.900000000000006,54.8
53.2,54.8
53.6,54.8
54.00000000000001,54.8
54.400000000000006,54.8
54.800000000000004,54.8
55.1,54.8
55.50000000000001,54.8
55.900000000000006,54.8
56.300000000000004,54.8
56.7,54.8
57.00000000000001,54.8
57.400000000000006,54.8
57.800000000000004,54.8
58.2,54.8
58.6,54.8
59.00000000000001,54.8
59.400000000000006,54.9
59.800000000000004,54.9
60.2,54.9
60.6,54.9
60.900000000000006,54.9
61.400000000000006,54.9
61.800000000000004,54.9
62.2,54.9
62.60000000000001,54.0
63.00000000000001,54.9
63.400000000000006,55.0
63.800000000000004,55.0
64.2,55.0
64.60000000000001,55.0
65.0,54.8
65.4,54.8
65.80000000000001,54.8
66.2,54.8
66.7,54.8
67.10000000000001,54.8
67.5,54.6
67.9,54.0
68.30000000000001,54.9
68.7,54.9
69.2,54.9
69.60000000000001,54.9
70.0,54.9
70.4,54.9
70.9,54.9
71.30000000000001,54.9
71.7,54.9
72.10000000000001,54.9
72.60000000000001,54.9
73.0,54.9
73.4,54.9
73.9,54.9
74.30000000000001,54.9
74.7,54.9
75.2,54.9
75.60000000000001,54.9
76.0,54.8
76.5,54.8
76.9,54.8
77.4,54.8
77.80000000000001,54.3
78.2,54.8
78.7,54.8
79.10000000000001,54.8
79.60000000000001,54.8
80.0,54.8
80.5,54.8
80.9,54.8
81.4,54.8
81.80000000000001,54.8
82.30000000000001,54.8
82.7,54.8
83.2,54.8
83.7,54.8
84.10000000000001,54.8
84.60000000000001,54.8
85.10000000000001,54.7
85.5,54.7
86.0,54.8
86.4,54.8
86.9,54.8
87.4,54.8
87.80000000000001,54.7
88.30000000000001,54.7
88.80000000000001,54.9
89.30000000000001,55.0
89.7,54.9
90.2,54.9
90.7,54.9
91.2,54.9
91.60000000000001,54.7
92.10000000000001,54.7
92.60000000000001,54.8
93.10000000000001,54.8
93.50000000000001,54.8
94.00000000000001,54.8
94.50000000000001,54.8
95.00000000000001,54.7
95.50000000000001,54.7
96.00000000000001,54.7
96.50000000000001,54.8
96.9,54.8
97.4,54.8
97.9,54.8
98.4,54.8
98.9,54.8
99.4,54.8
99.9,54.8
100.4,54.8
100.9,54.8
101.4,54.7
101.9,54.7
102.4,54.7
102.9,54.7
103.4,54.7
103.9,54.8
104.4,54.8
104.9,54.8
105.4,54.8
105.9,54.8
106.4,54.8
106.9,54.8
107.4,54.8
108.00000000000001,54.8
108.50000000000001,54.8
109.00000000000001,54.8
109.50000000000001,54.8
110.10000000000001,54.8
110.60000000000001,54.8
111.7,54.7
112.2,54.7
112.80000000000001,54.8
113.4,54.8
113.9,55.68
114.50000000000001,54.9
115.00000000000001,54.9
115.50000000000001,54.9
116.00000000000001,54.9
116.60000000000001,54.9
117.10000000000001,54.9
117.60000000000001,54.9
118.2,54.8
118.7,54.8
119.30000000000001,54.8
119.80000000000001,54.8
120.30000000000001,54.8
120.9,54.8
121.4,54.8
122.00000000000001,54.8
122.50000000000001,54.8
123.10000000000001,54.8
123.60000000000001,54.8
124.20000000000002,54.8
125.30000000000001,54.9
126.4,54.9
127.00000000000001,54.9
127.50000000000001,54.9
128.10000000000002,54.8
128.60000000000002,54.8
129.20000000000002,54.8
129.70000000000002,54.8
130.3,54.8
130.8,54.8
131.4,54.8
131.9,54.8
132.5,54.8
133.10000000000002,54.8
133.60000000000002,55.0
134.20000000000002,54.9
134.8,54.9
135.3,54.9
135.9,54.9
136.5,54.9
137.0,54.7
137.60000000000002,54.8
138.20000000000002,54.8
138.8,55.0
139.3,54.9
139.9,54.9
140.5,54.9
141.10000000000002,54.9
141.60000000000002,54.9
142.20000000000002,55.0
142.8,55.0
143.4,55.0
144.0,55.0
144.60000000000002,55.0
145.10000000000002,55.0
145.70000000000002,55.0
146.3,55.0
146.9,54.9
147.5,54.9
148.10000000000002,54.9
149.0,55.1
155.4,54.9
155.9,54.9
156.4,55.0
157.0,55.1
157.60000000000002,55.1
